Compressor_field__params, relative_error, absolute_error, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
BLOSC_baryon_density__, 0, 0, 66.5055, 552.492, 1.21874,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_dark_matter_density__, 0, 0, 52.0458, 445.557, 1.08031,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_temperature__, 0, 0, 68.7152, 660.023, 1.26586,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_x__, 0, 0, 66.9624, 475.904, 1.30574,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_y__, 0, 0, 92.1717, 685.284, 1.30268,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_z__, 0, 0, 65.5902, 479.429, 1.27147,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.01, 0.00224227, 0.00225461, 52.0734, 145.936, 4.57238,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.01, 0.00231312, 0.00232005, 128.523, 159.835, 2.7628,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.01, 2.80363e-05, 0.125, 84.1809, 110.148, 1.61826,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.01, 0.0149152, 1, 66.9935, 95.5309, 1.43309,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.01, 0.0128536, 1, 76.9301, 98.6588, 1.43746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.01, 0.00671054, 1, 77.011, 99.0166, 1.43096,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.02, 0.00477943, 0.00477943, 54.9461, 113.592, 5.33512,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.02, 0.00451148, 0.00451148, 136.392, 177.206, 3.02388,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.02, 2.80363e-05, 0.125, 81.95, 114.032, 1.70437,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.02, 0.0149152, 1, 72.5521, 86.8146, 1.43311,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.02, 0.0128536, 1, 76.9454, 98.9087, 1.43748,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.02, 0.00671054, 1, 77.0026, 98.6971, 1.43098,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.04, 0.00911963, 0.00911963, 59.9145, 112.878, 6.39776,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.04, 0.00985336, 0.00985336, 142.737, 188.12, 3.33944,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.04, 2.80363e-05, 0.125, 89.1611, 118.519, 1.80021,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.04, 0.0149152, 1, 77.1808, 99.4187, 1.4335,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.04, 0.0128536, 1, 76.9932, 99.0047, 1.43789,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.04, 0.00671054, 1, 76.2272, 99.0012, 1.43143,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.06, 0.00911963, 0.00911963, 62.5128, 236.867, 6.39776,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.06, 0.00985336, 0.00985336, 142.379, 188.285, 3.33944,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.06, 2.80363e-05, 0.125, 89.2639, 118.382, 1.80021,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.06, 0.0149152, 1, 76.6138, 99.697, 1.4335,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.06, 0.0128536, 1, 77.1055, 98.9163, 1.43789,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.06, 0.00671054, 1, 76.9593, 98.9866, 1.43143,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.08, 0.0178627, 0.0187097, 63.9329, 126.32, 7.94697,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.08, 0.0195115, 0.0195115, 149.313, 200.795, 3.72855,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.08, 2.80363e-05, 0.125, 91.7625, 123.232, 1.90751,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.08, 0.0149152, 1, 77.1818, 99.6139, 1.43595,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.08, 0.0128536, 1, 76.9667, 99.0496, 1.44046,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.08, 0.00936866, 1, 76.9961, 99.1614, 1.43413,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.1, 0.0178627, 0.0187097, 61.9491, 108.333, 7.94697,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.1, 0.0195115, 0.0195115, 149.523, 200.802, 3.72855,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.1, 2.80363e-05, 0.125, 86.3384, 123.567, 1.90751,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.1, 0.0149152, 1, 77.0183, 99.6117, 1.43595,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.1, 0.0128536, 1, 73.9846, 87.7441, 1.44046,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.1, 0.00936866, 1, 76.8647, 99.0388, 1.43413,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.12, 0.0178627, 0.0187097, 61.5289, 108.353, 7.94697,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.12, 0.0195115, 0.0195115, 149.366, 200.408, 3.72855,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.12, 2.80363e-05, 0.125, 91.881, 123.181, 1.90751,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.12, 0.0149152, 1, 77.1272, 99.6217, 1.43595,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.12, 0.0128536, 1, 76.5253, 99.0333, 1.44046,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.12, 0.00936866, 1, 76.9551, 99.3075, 1.43413,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.14, 0.0364203, 0.0364203, 66.1647, 157.983, 10.2828,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.14, 0.0372346, 0.0372346, 157.308, 214.098, 4.22029,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.14, 2.80363e-05, 0.125, 93.5425, 128.802, 2.02841,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.14, 0.0149152, 1, 77.2867, 100.879, 1.44339,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.14, 0.0214558, 1, 77.1308, 99.8718, 1.44814,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.14, 0.0140688, 1, 76.9693, 99.7432, 1.44217,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.16, 0.0364203, 0.0364203, 67.9926, 141.178, 10.2828,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.16, 0.0372346, 0.0372346, 156.871, 214.787, 4.22029,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.16, 2.80363e-05, 0.125, 82.2059, 124.364, 2.02841,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.16, 0.0149152, 1, 77.1604, 100.789, 1.44339,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.16, 0.0214558, 1, 77.2083, 100.114, 1.44814,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.16, 0.0140688, 1, 76.9404, 94.1918, 1.44217,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.18, 0.0364203, 0.0364203, 66.3942, 170.746, 10.2828,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.18, 0.0372346, 0.0372346, 157.197, 214.299, 4.22029,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.18, 2.80363e-05, 0.125, 94.507, 128.793, 2.02841,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.18, 0.0149152, 1, 77.2082, 100.771, 1.44339,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.18, 0.0214558, 1, 77.1618, 99.7168, 1.44814,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.18, 0.0140688, 1, 77.0235, 99.9938, 1.44217,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.2, 0.0364203, 0.0364203, 66.9547, 194.816, 10.2828,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.2, 0.0372346, 0.0372346, 157.532, 214.034, 4.22029,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.2, 2.80363e-05, 0.125, 94.7184, 112.797, 2.02841,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.2, 0.0149152, 1, 77.1419, 100.967, 1.44339,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.2, 0.0214558, 1, 77.177, 100.297, 1.44814,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.2, 0.0140688, 1, 76.9638, 99.9995, 1.44217,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.3, 0.0714228, 0.0714228, 72.4429, 138.396, 13.8307,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.3, 0.0793986, 0.0793986, 165.805, 230.562, 4.86149,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.3, 2.60502e-05, 0.125, 97.7221, 134.615, 2.16569,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.3, 0.0189051, 1, 77.2403, 102.107, 1.46182,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.3, 0.0271282, 1, 76.8368, 101.91, 1.46632,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.3, 0.0362241, 1, 77.0137, 101.95, 1.4618,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.4, 0.0714228, 0.0714228, 73.4241, 161.414, 13.8307,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.4, 0.0793986, 0.0793986, 165.734, 231.817, 4.86149,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.4, 2.60502e-05, 0.125, 97.6924, 134.332, 2.16569,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.4, 0.0189051, 1, 77.4862, 102.257, 1.46182,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.4, 0.0271282, 1, 77.314, 101.911, 1.46632,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.4, 0.0362241, 1, 77.0633, 101.859, 1.4618,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.5, 0.139726, 0.139726, 80.6748, 187.168, 19.0928,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.5, 0.148386, 0.15296, 175.074, 250.198, 5.73267,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.5, 7.27794e-05, 0.154785, 100.969, 140.851, 2.3229,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.5, 0.0450858, 1, 76.8566, 104.682, 1.50162,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.5, 0.0846882, 1, 69.6354, 91.3726, 1.50536,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.5, 0.0597231, 1, 76.4581, 105.22, 1.50407,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.6, 0.139726, 0.139726, 79.9624, 159.854, 19.0928,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.6, 0.148386, 0.15296, 175.62, 250.864, 5.73267,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.6, 7.27794e-05, 0.154785, 100.679, 140.945, 2.3229,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.6, 0.0450858, 1, 78.0161, 104.538, 1.50162,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.6, 0.0846882, 1, 77.9794, 104.547, 1.50536,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.6, 0.0597231, 1, 77.3089, 105.298, 1.50407,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.7, 0.139726, 0.139726, 79.9523, 199.137, 19.0928,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.7, 0.148386, 0.15296, 175.901, 249.822, 5.73267,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.7, 7.27794e-05, 0.154785, 100.84, 140.587, 2.3229,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.7, 0.0450858, 1, 78.0876, 96.0191, 1.50162,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.7, 0.0846882, 1, 77.9192, 104.612, 1.50536,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.7, 0.0597231, 1, 77.2322, 105.116, 1.50407,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.8, 0.139726, 0.139726, 80.0229, 160.403, 19.0928,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.8, 0.148386, 0.15296, 175.251, 250.66, 5.73267,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.8, 7.27794e-05, 0.154785, 101.019, 137.888, 2.3229,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.8, 0.0450858, 1, 77.9965, 99.2464, 1.50162,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.8, 0.0846882, 1, 78.1411, 104.478, 1.50536,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.8, 0.0597231, 1, 77.2283, 104.599, 1.50407,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__abs0.9, 0.139726, 0.139726, 80.2228, 160.762, 19.0928,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__abs0.9, 0.148386, 0.15296, 175.611, 250.155, 5.73267,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__abs0.9, 7.27794e-05, 0.154785, 100.793, 140.909, 2.3229,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__abs0.9, 0.0450858, 1, 78.0616, 104.787, 1.50162,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__abs0.9, 0.0846882, 1, 78.1178, 104.299, 1.50536,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__abs0.9, 0.0597231, 1, 77.3422, 105.022, 1.50407,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
