Compressor_field__params, relative_error, absolute_error, mse, psnr, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio,FILE_SimStats_Pk,FILE_lya_all_axes_x_Pk,FILE_lya_all_axes_y_Pk,FILE_lya_all_axes_z_Pk
BLOSC_baryon_density__, 0, 0, 0, inf, 65.8495, 514.789, 1.21874,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_dark_matter_density__, 0, 0, 0, inf, 101.34, 581.563, 1.08031,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_temperature__, 0, 0, 0, inf, 67.5385, 628.813, 1.26586,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_x__, 0, 0, 0, inf, 68.0161, 519.529, 1.30574,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_y__, 0, 0, 0, inf, 73.1014, 487.945, 1.30268,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
BLOSC_velocity_z__, 0, 0, 0, inf, 112.301, 598.458, 1.27147,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__bits3, 0.000284761, 0.00122833, 1.81971e-09, 184.427, 54.6896, 167.757, 3.2002,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__bits3, 0.000286132, 0.000286132, 1.81942e-09, 165.251, 115.704, 144.133, 2.19442,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__bits3, 2.80363e-05, 0.125, 7.54142e-09, 210.376, 77.5574, 99.9833, 1.41116,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__bits3, 0.0149152, 1, 4.44762e-05, 193.973, 77.1851, 99.6841, 1.43309,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__bits3, 0.0128536, 1, 4.82192e-05, 193.663, 76.9609, 99.0534, 1.43746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__bits3, 0.00671054, 1, 4.08169e-05, 194.487, 76.8996, 98.9917, 1.43096,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__bits28, 0.000284761, 0.00122833, 1.81971e-09, 184.427, 50.1784, 86.3137, 3.2002,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__bits28, 0.000286132, 0.000286132, 1.81942e-09, 165.251, 115.81, 143.967, 2.19442,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__bits28, 2.80363e-05, 0.125, 7.54142e-09, 210.376, 78.2693, 94.6913, 1.41116,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__bits28, 0.0149152, 1, 4.44762e-05, 193.973, 77.1268, 99.5867, 1.43309,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__bits28, 0.0128536, 1, 4.82192e-05, 193.663, 77.0287, 98.7616, 1.43746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__bits28, 0.00671054, 1, 4.08169e-05, 194.487, 76.8859, 99.1312, 1.43096,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__bits26, 0.000284761, 0.00122833, 1.81971e-09, 184.427, 59.2357, 167.043, 3.2002,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__bits26, 0.000286132, 0.000286132, 1.81942e-09, 165.251, 115.746, 144.118, 2.19442,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__bits26, 2.80363e-05, 0.125, 7.54142e-09, 210.376, 78.1635, 99.7218, 1.41116,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__bits26, 0.0149152, 1, 4.44762e-05, 193.973, 77.1339, 99.4572, 1.43309,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__bits26, 0.0128536, 1, 4.82192e-05, 193.663, 77.0327, 99.1146, 1.43746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__bits26, 0.00671054, 1, 4.08169e-05, 194.487, 76.9266, 98.8181, 1.43096,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__bits24, 0.000284761, 0.00122833, 1.81971e-09, 184.427, 46.357, 103.159, 3.2002,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__bits24, 0.000286132, 0.000286132, 1.81942e-09, 165.251, 115.704, 144.098, 2.19442,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__bits24, 2.80363e-05, 0.125, 7.54142e-09, 210.376, 78.2201, 99.7534, 1.41116,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__bits24, 0.0149152, 1, 4.44762e-05, 193.973, 77.0577, 99.6222, 1.43309,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__bits24, 0.0128536, 1, 4.82192e-05, 193.663, 77.0546, 98.9263, 1.43746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__bits24, 0.00671054, 1, 4.08169e-05, 194.487, 76.9691, 98.9981, 1.43096,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__bits22, 0.000284761, 0.00122833, 1.81971e-09, 184.427, 46.2432, 129.5, 3.2002,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__bits22, 0.000286132, 0.000286132, 1.81942e-09, 165.251, 115.641, 144.185, 2.19442,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__bits22, 2.80363e-05, 0.125, 7.54142e-09, 210.376, 69.0334, 87.0307, 1.41116,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__bits22, 0.0149152, 1, 4.44762e-05, 193.973, 77.1549, 99.6389, 1.43309,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__bits22, 0.0128536, 1, 4.82192e-05, 193.663, 76.2336, 98.1678, 1.43746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__bits22, 0.00671054, 1, 4.08169e-05, 194.487, 77.0034, 98.9007, 1.43096,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__bits20, 0.000284761, 0.00122833, 1.81971e-09, 184.427, 54.5856, 167.798, 3.2002,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__bits20, 0.000286132, 0.000286132, 1.81942e-09, 165.251, 115.765, 144.129, 2.19442,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__bits20, 2.80363e-05, 0.125, 7.54142e-09, 210.376, 78.1806, 99.9134, 1.41116,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__bits20, 0.0149152, 1, 4.44762e-05, 193.973, 77.0597, 99.007, 1.43309,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__bits20, 0.0128536, 1, 4.82192e-05, 193.663, 76.9771, 98.8895, 1.43746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__bits20, 0.00671054, 1, 4.08169e-05, 194.487, 76.9356, 98.795, 1.43096,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__bits18, 0.000284761, 0.00122833, 1.81971e-09, 184.427, 48.9966, 96.3041, 3.2002,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__bits18, 0.000286132, 0.000286132, 1.81942e-09, 165.251, 115.801, 143.975, 2.19442,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__bits18, 2.80363e-05, 0.125, 7.54142e-09, 210.376, 78.1856, 99.9915, 1.41116,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__bits18, 0.0149152, 1, 4.44762e-05, 193.973, 77.0555, 99.5067, 1.43309,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__bits18, 0.0128536, 1, 4.82192e-05, 193.663, 76.904, 99.0569, 1.43746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__bits18, 0.00671054, 1, 4.08169e-05, 194.487, 76.8602, 98.8466, 1.43096,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__bits16, 0.000284761, 0.00122833, 1.81971e-09, 184.427, 46.1825, 166.215, 3.2002,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__bits16, 0.000286132, 0.000286132, 1.81942e-09, 165.251, 115.736, 144.032, 2.19442,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__bits16, 2.80363e-05, 0.125, 7.54142e-09, 210.376, 78.1865, 99.7634, 1.41116,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__bits16, 0.0149152, 1, 4.44762e-05, 193.973, 75.5776, 99.6914, 1.43309,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__bits16, 0.0128536, 1, 4.82192e-05, 193.663, 76.9706, 99.1162, 1.43746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__bits16, 0.00671054, 1, 4.08169e-05, 194.487, 76.9245, 98.7851, 1.43096,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_baryon_density__bits14, 0.000284761, 0.00122833, 1.81971e-09, 184.427, 46.159, 149.215, 3.2002,sim_stats_rhob.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_dark_matter_density__bits14, 0.000286132, 0.000286132, 1.81942e-09, 165.251, 115.683, 144.03, 2.19442,sim_stats_rhodm.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_temperature__bits14, 2.80363e-05, 0.125, 7.54142e-09, 210.376, 77.8177, 99.9307, 1.41116,sim_stats_temp.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_x__bits14, 0.0149152, 1, 4.44762e-05, 193.973, 77.0631, 99.6295, 1.43309,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_y__bits14, 0.0128536, 1, 4.82192e-05, 193.663, 77.0016, 98.9687, 1.43746,sim_stats_velmag.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
zfp_velocity_z__bits14, 0.00671054, 1, 4.08169e-05, 194.487, 76.9158, 98.9572, 1.43096,sim_stats_vz.png,lya_all_axes_x.png,lya_all_axes_y.png,lya_all_axes_z.png
