Compressor_field__params, name, absolute_error, relative_error, mse, psnr, minmax, Compression Throughput(MB/s), DeCompression Throughput(MB/s), Compression Ratio
BLOSC_Ne__, BLOSC_, 0, 0, 0, -nan, 0, 3819.84, 2701.5, 247.759
BLOSC_phi_grav__, BLOSC_, 0, 0, 0, inf, 216371, 169.09, 1573.91, 1.38873
BLOSC_pressure__, BLOSC_, 0, 0, 0, inf, 3.26916e+10, 170.857, 2215.61, 1.34049
BLOSC_magvel__, BLOSC_, 0, 0, 0, inf, 56.5288, 169.283, 1680.39, 1.31013
BLOSC_rho_E__, BLOSC_, 0, 0, 0, inf, 1.11809e+13, 166.577, 2387.65, 1.2775
BLOSC_rho_e__, BLOSC_, 0, 0, 0, inf, 4.90374e+10, 132.879, 1082.89, 1.16227
BLOSC_rho_H__, BLOSC_, 0, 0, 0, inf, 6.82796e+09, 172.277, 2059.28, 1.34869
BLOSC_rho_He__, BLOSC_, 0, 0, 0, inf, 2.1562e+09, 169.672, 2295.05, 1.33907
BLOSC_grav_x__, BLOSC_, 0, 0, 0, inf, 34832.8, 161.136, 1941.9, 1.26982
BLOSC_grav_y__, BLOSC_, 0, 0, 0, inf, 29929.8, 157.92, 1961.88, 1.24863
BLOSC_grav_z__, BLOSC_, 0, 0, 0, inf, 32240.5, 157.445, 1971.39, 1.24966
SZ_phi_grav__abs0.01, SZ_abs_0.01_, 0.00999975, 0.00998515, 3.1424e-05, 151.731, 216371, 82.4924, 84.683, 2.9306
SZ_pressure__abs0.01, SZ_abs_0.01_, 0, 0, 0, inf, 3.26916e+10, 124.339, 214.938, 1.22527
SZ_magvel__abs0.01, SZ_abs_0.01_, 0.00999999, 0.00999928, 3.31527e-05, 79.8402, 56.5288, 85.7976, 151.453, 5.77793
SZ_rho_E__abs0.01, SZ_abs_0.01_, 0, 0, 0, inf, 1.11809e+13, 123.881, 195.808, 1.12641
SZ_rho_e__abs0.01, SZ_abs_0.01_, 0, 0, 0, inf, 4.90374e+10, 127.48, 216.197, 1.18073
SZ_rho_H__abs0.01, SZ_abs_0.01_, 0, 0, 0, inf, 6.82796e+09, 123.527, 202.948, 1.23312
SZ_rho_He__abs0.01, SZ_abs_0.01_, 0, 0, 0, inf, 2.1562e+09, 132.227, 215.53, 1.22296
SZ_grav_x__abs0.01, SZ_abs_0.01_, 0.00999993, 0.00999993, 3.32054e-05, 135.628, 34832.8, 77.549, 45.5583, 2.219
SZ_grav_y__abs0.01, SZ_abs_0.01_, 0.00999987, 0.00999969, 3.3066e-05, 134.328, 29929.8, 77.2547, 42.586, 2.21801
SZ_grav_z__abs0.01, SZ_abs_0.01_, 0.00999975, 0.00999951, 3.32233e-05, 134.954, 32240.5, 77.8897, 43.5313, 2.22192
SZ_phi_grav__abs0.1, SZ_abs_0.1_, 0.0999999, 0.0998889, 0.00326942, 131.559, 216371, 87.1546, 131.57, 4.37223
SZ_pressure__abs0.1, SZ_abs_0.1_, 0, 0, 0, inf, 3.26916e+10, 123.717, 215.75, 1.22527
SZ_magvel__abs0.1, SZ_abs_0.1_, 0.0999999, 0.0999958, 0.00333312, 59.8169, 56.5288, 98.8275, 214.601, 12.0476
SZ_rho_E__abs0.1, SZ_abs_0.1_, 0, 0, 0, inf, 1.11809e+13, 134.886, 205.999, 1.12641
SZ_rho_e__abs0.1, SZ_abs_0.1_, 0, 0, 0, inf, 4.90374e+10, 126.232, 216.405, 1.18073
SZ_rho_H__abs0.1, SZ_abs_0.1_, 0, 0, 0, inf, 6.82796e+09, 121.82, 216.081, 1.23312
SZ_rho_He__abs0.1, SZ_abs_0.1_, 0, 0, 0, inf, 2.1562e+09, 123.749, 215.755, 1.22296
SZ_grav_x__abs0.1, SZ_abs_0.1_, 0.0999994, 0.0999964, 0.00332917, 115.616, 34832.8, 85.3126, 78.4071, 2.92712
SZ_grav_y__abs0.1, SZ_abs_0.1_, 0.0999994, 0.0999932, 0.00332766, 114.301, 29929.8, 85.6234, 78.687, 2.92762
SZ_grav_z__abs0.1, SZ_abs_0.1_, 0.0999994, 0.0999798, 0.00332889, 114.945, 32240.5, 86.6662, 78.3288, 2.92723
SZ_pressure__abs0.5, SZ_abs_0.5_, 0, 0, 0, inf, 3.26916e+10, 125.338, 215.382, 1.22527
SZ_magvel__abs0.5, SZ_abs_0.5_, 0.5, 0.499936, 0.0786607, 46.0878, 56.5288, 149.536, 362.201, 26.0108
SZ_rho_E__abs0.5, SZ_abs_0.5_, 0, 0, 0, inf, 1.11809e+13, 134.642, 206.232, 1.12641
SZ_rho_e__abs0.5, SZ_abs_0.5_, 0, 0, 0, inf, 4.90374e+10, 128.846, 215.583, 1.18073
SZ_rho_H__abs0.5, SZ_abs_0.5_, 0, 0, 0, inf, 6.82796e+09, 122.929, 215.489, 1.23312
SZ_rho_He__abs0.5, SZ_abs_0.5_, 0, 0, 0, inf, 2.1562e+09, 124.727, 215.295, 1.22296
SZ_grav_x__abs0.5, SZ_abs_0.5_, 0.5, 0.499965, 0.0830886, 101.644, 34832.8, 88.6891, 128.868, 3.7213
SZ_grav_y__abs0.5, SZ_abs_0.5_, 0.5, 0.499972, 0.0830958, 100.326, 29929.8, 88.4971, 121.228, 3.71217
SZ_grav_z__abs0.5, SZ_abs_0.5_, 0.5, 0.499906, 0.0830902, 100.973, 32240.5, 90.2927, 125.07, 3.71725
SZ_pressure__abs1.0, SZ_abs_1.0_, 0, 0, 0, inf, 3.26916e+10, 115.126, 202.736, 1.22527
SZ_magvel__abs1.0, SZ_abs_1.0_, 1, 0.999996, 0.167704, 42.8, 56.5288, 161.696, 476.4, 81.2178
SZ_rho_E__abs1.0, SZ_abs_1.0_, 0, 0, 0, inf, 1.11809e+13, 118.608, 195.923, 1.12641
SZ_rho_e__abs1.0, SZ_abs_1.0_, 0, 0, 0, inf, 4.90374e+10, 118.046, 203.266, 1.18073
SZ_rho_H__abs1.0, SZ_abs_1.0_, 0, 0, 0, inf, 6.82796e+09, 122.728, 215.526, 1.23312
SZ_rho_He__abs1.0, SZ_abs_1.0_, 0, 0, 0, inf, 2.1562e+09, 124.436, 214.904, 1.22296
SZ_grav_x__abs1.0, SZ_abs_1.0_, 1, 0.99998, 0.332314, 95.6243, 34832.8, 88.8083, 136.67, 4.21461
SZ_grav_y__abs1.0, SZ_abs_1.0_, 1, 0.999995, 0.332363, 94.306, 29929.8, 88.4704, 127.705, 4.20903
SZ_grav_z__abs1.0, SZ_abs_1.0_, 1, 0.999786, 0.332342, 94.9522, 32240.5, 90.2782, 131.634, 4.21019
SZ_pressure__abs5.0, SZ_abs_5.0_, 0, 0, 0, inf, 3.26916e+10, 122.607, 215.8, 1.22527
SZ_magvel__abs5.0, SZ_abs_5.0_, 4.97674, 2.98185, 0.201949, 41.993, 56.5288, 136.603, 623.16, 357.303
SZ_rho_E__abs5.0, SZ_abs_5.0_, 0, 0, 0, inf, 1.11809e+13, 133.933, 206.213, 1.12641
SZ_rho_e__abs5.0, SZ_abs_5.0_, 0, 0, 0, inf, 4.90374e+10, 116.018, 203.35, 1.18073
SZ_rho_H__abs5.0, SZ_abs_5.0_, 0, 0, 0, inf, 6.82796e+09, 101.762, 202.741, 1.23312
SZ_rho_He__abs5.0, SZ_abs_5.0_, 0, 0, 0, inf, 2.1562e+09, 102.071, 202.453, 1.22296
SZ_grav_x__abs5.0, SZ_abs_5.0_, 5, 4.99977, 8.32804, 81.6343, 34832.8, 84.8459, 148.204, 6.0841
SZ_grav_y__abs5.0, SZ_abs_5.0_, 5, 4.99965, 8.32766, 80.3168, 29929.8, 85.3391, 150.751, 6.10482
SZ_grav_z__abs5.0, SZ_abs_5.0_, 5, 4.99846, 8.3281, 80.9626, 32240.5, 85.65, 148.551, 6.08518
SZ_pressure__abs10.0, SZ_abs_10.0_, 0, 0, 0, inf, 3.26916e+10, 121.624, 215.862, 1.22527
SZ_magvel__abs10.0, SZ_abs_10.0_, 5.31888, 3.19017, 0.230147, 41.4253, 56.5288, 150.875, 797.683, 448.188
SZ_rho_E__abs10.0, SZ_abs_10.0_, 0, 0, 0, inf, 1.11809e+13, 133.021, 206.251, 1.12641
SZ_rho_e__abs10.0, SZ_abs_10.0_, 0, 0, 0, inf, 4.90374e+10, 125.377, 216.338, 1.18073
SZ_rho_H__abs10.0, SZ_abs_10.0_, 0, 0, 0, inf, 6.82796e+09, 119.815, 215.949, 1.23312
SZ_rho_He__abs10.0, SZ_abs_10.0_, 0, 0, 0, inf, 2.1562e+09, 118.752, 215.735, 1.22296
SZ_grav_x__abs10.0, SZ_abs_10.0_, 10, 9.99957, 33.2951, 75.616, 34832.8, 87.0035, 157.222, 7.39321
SZ_grav_y__abs10.0, SZ_abs_10.0_, 10, 9.99946, 33.295, 74.2983, 29929.8, 86.1426, 159.967, 7.4579
SZ_grav_z__abs10.0, SZ_abs_10.0_, 10, 9.99738, 33.2928, 74.9445, 32240.5, 88.3336, 161.001, 7.4384
SZ_pressure__abs50.0, SZ_abs_50.0_, 0, 0, 0, inf, 3.26916e+10, 120.68, 215.673, 1.22527
SZ_rho_E__abs50.0, SZ_abs_50.0_, 0, 0, 0, inf, 1.11809e+13, 133.668, 206.404, 1.12641
SZ_rho_e__abs50.0, SZ_abs_50.0_, 0, 0, 0, inf, 4.90374e+10, 124.815, 216.083, 1.18073
SZ_rho_H__abs50.0, SZ_abs_50.0_, 0, 0, 0, inf, 6.82796e+09, 115.626, 215.834, 1.23312
SZ_rho_He__abs50.0, SZ_abs_50.0_, 0, 0, 0, inf, 2.1562e+09, 107.227, 215.443, 1.22296
SZ_grav_x__abs50.0, SZ_abs_50.0_, 50, 49.9924, 833.258, 61.632, 34832.8, 91.3119, 206.826, 13.1337
SZ_grav_y__abs50.0, SZ_abs_50.0_, 50, 49.9995, 833.372, 60.3137, 29929.8, 91.7352, 215.604, 13.1229
SZ_grav_z__abs50.0, SZ_abs_50.0_, 50, 49.983, 833.306, 60.96, 32240.5, 91.9261, 214.999, 13.0648
SZ_pressure__abs100.0, SZ_abs_100.0_, 0, 0, 0, inf, 3.26916e+10, 120.131, 215.549, 1.22527
SZ_rho_e__abs100.0, SZ_abs_100.0_, 0, 0, 0, inf, 4.90374e+10, 122.024, 216.118, 1.18073
SZ_rho_H__abs100.0, SZ_abs_100.0_, 0, 0, 0, inf, 6.82796e+09, 110.026, 215.742, 1.23312
SZ_rho_He__abs100.0, SZ_abs_100.0_, 0, 0, 0, inf, 2.1562e+09, 96.5983, 215.474, 1.22296
SZ_grav_x__abs100.0, SZ_abs_100.0_, 100, 99.9936, 3332.75, 55.6117, 34832.8, 102.04, 194.424, 14.0692
SZ_grav_y__abs100.0, SZ_abs_100.0_, 100, 99.9895, 3333.23, 54.2934, 29929.8, 102.081, 193.189, 14.3419
SZ_grav_z__abs100.0, SZ_abs_100.0_, 100, 99.9952, 3332.62, 54.9402, 32240.5, 101.678, 191.924, 14.1539
SZ_pressure__abs500.0, SZ_abs_500.0_, 0, 0, 0, inf, 3.26916e+10, 111.108, 215.223, 1.22527
SZ_rho_e__abs500.0, SZ_abs_500.0_, 0, 0, 0, inf, 4.90374e+10, 116.676, 215.785, 1.18073
SZ_rho_H__abs500.0, SZ_abs_500.0_, 0, 0, 0, inf, 6.82796e+09, 86.5932, 215.433, 1.23312
SZ_rho_He__abs500.0, SZ_abs_500.0_, 384, 3.37069e-07, 31362.4, 141.71, 2.1562e+09, 65.3915, 57.688, 1.39546
SZ_grav_x__abs500.0, SZ_abs_500.0_, 500, 499.974, 59721.6, 43.0784, 34832.8, 163.273, 472.203, 50.5462
SZ_grav_y__abs500.0, SZ_abs_500.0_, 500, 499.945, 59752.2, 41.7585, 29929.8, 162.08, 470.531, 47.8983
SZ_grav_z__abs500.0, SZ_abs_500.0_, 500, 499.999, 59672.5, 42.4103, 32240.5, 159.408, 471.197, 46.4111
