Compressor_field__params, absolute_error, mse, psnr, Max Compression Throughput, Max DeCompression Throughput, Min Compression Throughput, Min DeCompression Throughput, Compression Ratio
SZ_x__abs:0.01, 0.00999999, 3.33271e-05, 92.9368, 65.5294, 71.4044, 49.6144, 64.5999, 6.77322
SZ_y__abs:0.01, 0.00999999, 3.33261e-05, 92.937, 65.2224, 68.6396, 51.2638, 63.3058, 6.45922
SZ_z__abs:0.01, 0.00999999, 3.32215e-05, 92.9506, 64.0431, 66.0655, 46.125, 60.6942, 6.1007
SZ_x__abs:0.001, 0.000999998, 3.3311e-07, 112.939, 63.004, 40.362, 49.1795, 38.2482, 3.97563
SZ_y__abs:0.001, 0.000999996, 3.33044e-07, 112.94, 62.9356, 39.1555, 47.4604, 37.0768, 3.86776
SZ_z__abs:0.001, 0.000999995, 3.31962e-07, 112.954, 62.1162, 38.6232, 45.0707, 36.8837, 3.72963
SZ_x__abs:0.0001, 9.99998e-05, 3.26884e-09, 133.021, 57.6976, 28.2348, 43.6322, 27.24, 2.77935
SZ_y__abs:0.0001, 9.99998e-05, 3.26254e-09, 133.029, 57.0894, 27.5352, 44.1052, 25.9041, 2.72348
SZ_z__abs:0.0001, 9.99998e-05, 3.27713e-09, 133.01, 56.0622, 26.7063, 42.8216, 25.5589, 2.67277
SZ_x__abs:1e-05, 9.99961e-06, 1.70898e-11, 155.837, 45.4049, 22.2419, 29.7715, 18.7339, 2.00494
SZ_y__abs:1e-05, 9.99961e-06, 1.60341e-11, 156.114, 45.8581, 22.1609, 30.6508, 18.3111, 1.9606
SZ_z__abs:1e-05, 9.99961e-06, 1.56036e-11, 156.233, 41.8455, 21.7803, 32.2712, 19.8348, 1.90765
SZ_x__abs:1e-06, 9.99775e-07, 1.51456e-14, 186.362, 38.5621, 31.7678, 31.0276, 23.6665, 1.75807
SZ_y__abs:1e-06, 9.99775e-07, 1.47305e-14, 186.483, 38.4541, 32.7047, 31.1562, 24.3295, 1.68189
SZ_z__abs:1e-06, 9.99949e-07, 1.20798e-14, 187.344, 37.6991, 30.8751, 30.4661, 27.7251, 1.76104
SZ_x__abs:0.02, 0.02, 0.000133297, 86.9166, 66.9917, 90.0548, 49.8241, 83.2467, 8.51791
SZ_y__abs:0.02, 0.02, 0.00013328, 86.9172, 66.2258, 85.1932, 49.5457, 79.0848, 8.04718
SZ_z__abs:0.02, 0.02, 0.000132861, 86.9308, 64.997, 81.3538, 49.3041, 74.0028, 7.5003
SZ_x__abs:0.002, 0.002, 1.33331e-06, 106.915, 63.0447, 45.4867, 47.6611, 42.9891, 4.54644
SZ_y__abs:0.002, 0.002, 1.33321e-06, 106.916, 63.1818, 44.7531, 47.2212, 41.6112, 4.40658
SZ_z__abs:0.002, 0.00199999, 1.32885e-06, 106.93, 62.4871, 43.8041, 47.5753, 40.9645, 4.228
SZ_x__abs:0.0002, 0.0002, 1.32658e-08, 126.937, 61.096, 31.5431, 46.5146, 30.0328, 3.06489
SZ_y__abs:0.0002, 0.0002, 1.32548e-08, 126.941, 60.9828, 30.8996, 45.6779, 29.2576, 2.99751
SZ_z__abs:0.0002, 0.0002, 1.33132e-08, 126.922, 60.191, 29.8071, 47.2999, 28.3749, 2.94009
SZ_x__abs:2e-05, 1.99992e-05, 1.32605e-10, 146.939, 49.9108, 21.7348, 38.2189, 20.0423, 2.27497
SZ_y__abs:2e-05, 1.99995e-05, 1.33052e-10, 146.925, 49.6924, 21.5261, 37.457, 19.0432, 2.23857
SZ_z__abs:2e-05, 1.99997e-05, 1.32753e-10, 146.934, 48.2681, 20.8211, 37.6581, 18.8294, 2.19026
SZ_x__abs:2e-06, 1.99978e-06, 1.76606e-13, 175.695, 41.2146, 23.6882, 31.8006, 18.4302, 1.88505
SZ_y__abs:2e-06, 1.99978e-06, 1.58395e-13, 176.167, 39.2642, 24.406, 29.7546, 19.2681, 1.8255
SZ_z__abs:2e-06, 1.9999e-06, 1.27558e-13, 177.108, 38.9842, 24.5771, 32.2972, 22.213, 1.80275
SZ_x__abs:0.03, 0.03, 0.000298336, 83.4177, 67.1832, 102.707, 50.7129, 94.1334, 10.0749
SZ_y__abs:0.03, 0.03, 0.000298546, 83.4147, 65.7173, 97.4551, 51.6419, 89.2171, 9.33445
SZ_z__abs:0.03, 0.03, 0.000298129, 83.4208, 64.9309, 92.1147, 48.9059, 84.6885, 8.62298
SZ_x__abs:0.003, 0.00299999, 2.98708e-06, 103.412, 63.2335, 50.0691, 47.0916, 46.5894, 4.93142
SZ_y__abs:0.003, 0.003, 2.99747e-06, 103.397, 63.2135, 48.4367, 48.1576, 45.1393, 4.78545
SZ_z__abs:0.003, 0.00299999, 2.98991e-06, 103.408, 62.9088, 47.248, 43.0643, 44.0679, 4.60203
SZ_x__abs:0.0003, 0.000299999, 2.96618e-08, 123.443, 62.0911, 33.2021, 47.7659, 31.8031, 3.2461
SZ_y__abs:0.0003, 0.000299999, 2.96426e-08, 123.446, 61.8176, 32.6394, 45.4864, 30.8291, 3.17203
SZ_z__abs:0.0003, 0.000299998, 2.95402e-08, 123.461, 60.8253, 31.995, 46.9799, 30.3029, 3.08653
SZ_x__abs:3e-05, 2.99998e-05, 1.83256e-10, 145.534, 49.7392, 25.5419, 32.6313, 21.2751, 2.19278
SZ_y__abs:3e-05, 2.99998e-05, 1.79397e-10, 145.627, 50.4921, 25.0688, 33.6489, 20.6892, 2.1441
SZ_z__abs:3e-05, 2.99999e-05, 1.79998e-10, 145.612, 44.0251, 23.537, 33.6599, 21.4606, 2.09122
SZ_x__abs:3e-06, 2.99979e-06, 3.13972e-13, 173.196, 43.0201, 24.0548, 30.0364, 17.7515, 1.91011
SZ_y__abs:3e-06, 2.99991e-06, 2.85596e-13, 173.607, 41.9213, 24.5736, 27.3196, 18.6669, 1.855
SZ_z__abs:3e-06, 2.99979e-06, 2.33925e-13, 174.474, 40.1821, 23.1023, 32.5545, 20.7971, 1.81689
SZ_x__abs:0.04, 0.04, 0.000533054, 80.8971, 69.0188, 115.145, 51.1036, 105.187, 11.5805
SZ_y__abs:0.04, 0.04, 0.000532982, 80.8977, 66.4971, 107.748, 50.4878, 100.046, 10.6687
SZ_z__abs:0.04, 0.04, 0.00053135, 80.911, 64.7517, 101.791, 48.3559, 92.6348, 9.78786
SZ_x__abs:0.004, 0.00399999, 5.3331e-06, 100.895, 63.6891, 53.8131, 48.5325, 49.7238, 5.29866
SZ_y__abs:0.004, 0.00399999, 5.33274e-06, 100.895, 63.4461, 52.3267, 48.5226, 47.7297, 5.10443
SZ_z__abs:0.004, 0.00399999, 5.31554e-06, 100.909, 62.5462, 50.6602, 48.4422, 46.5982, 4.87554
SZ_x__abs:0.0004, 0.000399999, 5.29733e-08, 120.924, 62.2859, 34.9457, 47.891, 33.0201, 3.39194
SZ_y__abs:0.0004, 0.000399999, 5.29325e-08, 120.928, 61.8925, 34.1569, 45.8754, 32.3937, 3.31191
SZ_z__abs:0.0004, 0.000399999, 5.314e-08, 120.911, 61.7517, 33.4385, 46.7401, 31.3901, 3.24089
SZ_x__abs:4e-05, 3.99984e-05, 4.90006e-10, 141.263, 53.1543, 24.2329, 41.0763, 22.4842, 2.44468
SZ_y__abs:4e-05, 3.99994e-05, 4.87679e-10, 141.283, 53.1183, 23.7035, 40.0996, 21.8636, 2.4011
SZ_z__abs:4e-05, 3.99984e-05, 4.86834e-10, 141.291, 50.2804, 23.2508, 39.9472, 21.3627, 2.34894
SZ_x__abs:4e-06, 3.99956e-06, 1.59166e-12, 166.146, 44.4223, 20.7132, 33.6813, 17.3045, 1.96867
SZ_y__abs:4e-06, 3.99968e-06, 1.39081e-12, 166.732, 43.5841, 21.4877, 33.2634, 18.2141, 1.91701
SZ_z__abs:4e-06, 3.9998e-06, 1.39514e-12, 166.719, 42.5428, 21.3135, 33.7879, 19.3231, 1.86167
zfp_x__tolerance:0.01, 0.00514412, 1.74867e-06, 105.738, 91.2185, 93.7394, 53.9305, 79.3743, 2.21646
zfp_y__tolerance:0.01, 0.0058279, 1.74868e-06, 105.738, 89.9375, 92.4427, 56.911, 80.2683, 2.1966
zfp_z__tolerance:0.01, 0.00485229, 1.74865e-06, 105.738, 81.0248, 84.7613, 57.9978, 80.1286, 2.17971
zfp_x__tolerance:0.001, 0.000602722, 2.72825e-08, 123.806, 71.6468, 78.4262, 54.2189, 67.9679, 1.8351
zfp_y__tolerance:0.001, 0.00060463, 2.72784e-08, 123.807, 78.9402, 77.931, 53.2347, 68.0171, 1.82146
zfp_z__tolerance:0.001, 0.000602722, 2.72844e-08, 123.806, 73.1289, 71.824, 53.2977, 68.31, 1.80984
zfp_x__tolerance:0.0001, 3.8147e-05, 1.13782e-10, 147.604, 71.8593, 64.0872, 47.4701, 56.9581, 1.49269
zfp_y__tolerance:0.0001, 3.8147e-05, 1.14054e-10, 147.594, 71.752, 63.162, 48.8803, 56.4146, 1.48366
zfp_z__tolerance:0.0001, 3.8147e-05, 1.13566e-10, 147.612, 65.9931, 59.7805, 49.1537, 57.0331, 1.47594
zfp_x__tolerance:1e-05, 4.29153e-06, 4.96431e-13, 171.206, 66.0001, 56.4316, 45.9813, 51.0506, 1.30945
zfp_y__tolerance:1e-05, 4.29153e-06, 4.55837e-13, 171.577, 65.3531, 55.7281, 45.6187, 50.6375, 1.30249
zfp_z__tolerance:1e-05, 4.29153e-06, 4.28916e-13, 171.841, 61.091, 53.2546, 45.9224, 50.4082, 1.29654
zfp_x__tolerance:1e-06, 2.38419e-07, 2.2324e-16, 204.677, 57.6158, 50.54, 43.6206, 47.2632, 1.16628
zfp_y__tolerance:1e-06, 2.38419e-07, 2.23519e-16, 204.672, 60.5581, 50.0647, 44.316, 46.8978, 1.16075
zfp_z__tolerance:1e-06, 2.38419e-07, 2.0054e-16, 205.143, 56.2438, 49.0276, 42.7382, 47.1047, 1.15602
zfp_x__tolerance:0.02, 0.0116272, 6.99157e-06, 99.7191, 90.9817, 100.527, 58.3444, 85.8592, 2.38157
zfp_y__tolerance:0.02, 0.0115862, 6.99126e-06, 99.7192, 92.194, 98.9356, 60.8527, 85.0638, 2.35865
zfp_z__tolerance:0.02, 0.00996304, 6.99126e-06, 99.7192, 83.505, 90.2433, 59.806, 84.8371, 2.33919
zfp_x__tolerance:0.002, 0.00121307, 1.09341e-07, 117.777, 84.9009, 82.947, 56.0108, 70.881, 1.94674
zfp_y__tolerance:0.002, 0.00121689, 1.09355e-07, 117.776, 84.5249, 82.5902, 55.31, 71.8711, 1.9314
zfp_z__tolerance:0.002, 0.00120926, 1.09345e-07, 117.777, 76.3937, 75.745, 54.8252, 72.1973, 1.91833
zfp_x__tolerance:0.0002, 7.62939e-05, 4.43676e-10, 141.694, 66.7885, 67.0665, 50.1456, 59.4626, 1.56573
zfp_y__tolerance:0.0002, 7.62939e-05, 4.44805e-10, 141.683, 73.2833, 66.1698, 48.6559, 59.1129, 1.55579
zfp_z__tolerance:0.0002, 7.62939e-05, 4.44145e-10, 141.69, 67.5322, 62.3734, 50.6971, 58.6446, 1.5473
zfp_x__tolerance:2e-05, 9.53674e-06, 3.87992e-12, 162.277, 67.4216, 58.7965, 48.052, 52.8864, 1.36532
zfp_y__tolerance:2e-05, 9.53674e-06, 3.67892e-12, 162.508, 67.2244, 58.1106, 46.8798, 52.2106, 1.35775
zfp_z__tolerance:2e-05, 9.53674e-06, 3.73143e-12, 162.446, 62.267, 55.1413, 48.3491, 52.0275, 1.35128
zfp_x__tolerance:2e-06, 9.53674e-07, 3.3554e-15, 192.907, 58.7313, 52.3346, 45.2911, 48.3513, 1.21039
zfp_y__tolerance:2e-06, 9.53674e-07, 3.43158e-15, 192.81, 61.1115, 51.6997, 44.3405, 47.6094, 1.20444
zfp_z__tolerance:2e-06, 9.53674e-07, 3.13255e-15, 193.206, 58.1982, 50.0505, 44.1357, 47.6247, 1.19935
zfp_x__tolerance:0.03, 0.0116272, 6.99157e-06, 99.7191, 95.1051, 100.511, 57.9841, 85.1016, 2.38157
zfp_y__tolerance:0.03, 0.0115862, 6.99126e-06, 99.7192, 93.5477, 98.6864, 59.6329, 84.5868, 2.35865
zfp_z__tolerance:0.03, 0.00996304, 6.99126e-06, 99.7192, 85.1569, 90.2684, 57.8098, 85.0638, 2.33919
zfp_x__tolerance:0.003, 0.00121307, 1.09341e-07, 117.777, 84.7988, 82.8247, 55.5745, 72.1503, 1.94674
zfp_y__tolerance:0.003, 0.00121689, 1.09355e-07, 117.776, 84.8262, 82.4195, 54.7992, 71.8465, 1.9314
zfp_z__tolerance:0.003, 0.00120926, 1.09345e-07, 117.777, 76.6497, 75.6051, 52.897, 71.5764, 1.91833
zfp_x__tolerance:0.0003, 0.000151634, 1.69717e-09, 135.868, 76.6521, 70.3346, 47.9926, 62.1548, 1.64628
zfp_y__tolerance:0.0003, 0.000150681, 1.69651e-09, 135.869, 75.8737, 69.5144, 50.6744, 62.0673, 1.63529
zfp_z__tolerance:0.0003, 0.000150681, 1.69767e-09, 135.866, 69.8447, 65.3181, 51.8412, 61.9847, 1.62592
zfp_x__tolerance:3e-05, 9.53674e-06, 3.87992e-12, 162.277, 67.8151, 58.8252, 42.0524, 52.7912, 1.36532
zfp_y__tolerance:3e-05, 9.53674e-06, 3.67892e-12, 162.508, 66.319, 58.0267, 46.2145, 52.0765, 1.35775
zfp_z__tolerance:3e-05, 9.53674e-06, 3.73143e-12, 162.446, 62.1264, 55.1702, 46.8463, 52.1575, 1.35128
zfp_x__tolerance:3e-06, 9.53674e-07, 3.3554e-15, 192.907, 62.6205, 52.3112, 44.1751, 48.204, 1.21039
zfp_y__tolerance:3e-06, 9.53674e-07, 3.43158e-15, 192.81, 61.296, 51.7834, 44.8991, 47.8718, 1.20444
zfp_z__tolerance:3e-06, 9.53674e-07, 3.13255e-15, 193.206, 58.175, 50.0398, 44.1018, 47.2033, 1.19935
zfp_x__tolerance:0.04, 0.023428, 2.79126e-05, 93.7068, 99.6411, 108.954, 57.9671, 91.2133, 2.57343
zfp_y__tolerance:0.04, 0.0227861, 2.79135e-05, 93.7067, 97.4811, 106.956, 59.673, 90.4174, 2.54668
zfp_z__tolerance:0.04, 0.0232382, 2.7913e-05, 93.7067, 88.0661, 96.5814, 61.2144, 91.147, 2.524
zfp_x__tolerance:0.004, 0.00291157, 4.36975e-07, 111.76, 87.8234, 88.0598, 57.5872, 75.3878, 2.07285
zfp_y__tolerance:0.004, 0.00242615, 4.36916e-07, 111.761, 87.5533, 87.539, 58.3467, 75.8493, 2.05546
zfp_z__tolerance:0.004, 0.00241852, 4.36947e-07, 111.761, 79.0913, 79.8268, 53.8275, 76.2961, 2.04068
zfp_x__tolerance:0.0004, 0.000151634, 1.69717e-09, 135.868, 76.4823, 70.4514, 50.857, 61.89, 1.64628
zfp_y__tolerance:0.0004, 0.000150681, 1.69651e-09, 135.869, 75.9339, 69.4629, 49.9677, 62.0072, 1.63529
zfp_z__tolerance:0.0004, 0.000150681, 1.69767e-09, 135.866, 69.8695, 65.272, 51.8677, 62.2213, 1.62592
zfp_x__tolerance:4e-05, 1.90735e-05, 3.04346e-11, 153.331, 69.7953, 61.3119, 47.5246, 54.423, 1.42617
zfp_y__tolerance:4e-05, 1.90735e-05, 3.05917e-11, 153.309, 67.9639, 60.52, 47.5727, 54.3119, 1.41792
zfp_z__tolerance:4e-05, 1.90735e-05, 2.98138e-11, 153.421, 64.1125, 57.3867, 46.227, 54.2912, 1.41086
zfp_x__tolerance:4e-06, 1.90735e-06, 4.81031e-14, 181.343, 64.0776, 54.3209, 43.5835, 48.9291, 1.25797
zfp_y__tolerance:4e-06, 1.90735e-06, 4.65103e-14, 181.489, 62.8784, 53.7122, 45.6776, 48.9472, 1.25155
zfp_z__tolerance:4e-06, 1.90735e-06, 4.1069e-14, 182.03, 59.6362, 51.3739, 47.4135, 48.5853, 1.24605
zfp_x__tolerance:0.05, 0.023428, 2.79126e-05, 93.7068, 99.6479, 108.785, 58.918, 91.6754, 2.57343
zfp_y__tolerance:0.05, 0.0227861, 2.79135e-05, 93.7067, 98.5301, 107.061, 61.4205, 90.6604, 2.54668
zfp_z__tolerance:0.05, 0.0232382, 2.7913e-05, 93.7067, 88.308, 96.9554, 61.4937, 90.4321, 2.524
zfp_x__tolerance:0.005, 0.00291157, 4.36975e-07, 111.76, 78.1082, 87.8983, 52.5404, 75.0833, 2.07285
zfp_y__tolerance:0.005, 0.00242615, 4.36916e-07, 111.761, 87.6965, 87.5685, 56.7441, 75.6713, 2.05546
zfp_z__tolerance:0.005, 0.00241852, 4.36947e-07, 111.761, 79.2002, 80.0394, 56.8288, 75.2556, 2.04068
zfp_x__tolerance:0.0005, 0.000303268, 6.84556e-09, 129.811, 73.6582, 74.0568, 52.1343, 64.7618, 1.73557
zfp_y__tolerance:0.0005, 0.000301361, 6.84714e-09, 129.81, 77.3406, 72.9333, 52.6314, 64.4345, 1.72336
zfp_z__tolerance:0.0005, 0.000301361, 6.84475e-09, 129.811, 71.9777, 68.4285, 51.9889, 64.8827, 1.71296
zfp_x__tolerance:5e-05, 1.90735e-05, 3.04346e-11, 153.331, 69.8148, 61.316, 45.8488, 54.7687, 1.42617
zfp_y__tolerance:5e-05, 1.90735e-05, 3.05917e-11, 153.309, 68.1274, 59.5792, 47.729, 54.3581, 1.41792
zfp_z__tolerance:5e-05, 1.90735e-05, 2.98138e-11, 153.421, 64.1584, 57.2915, 46.3326, 54.4963, 1.41086
zfp_x__tolerance:5e-06, 1.90735e-06, 4.81031e-14, 181.343, 64.3045, 54.2773, 43.5843, 49.0341, 1.25797
zfp_y__tolerance:5e-06, 1.90735e-06, 4.65103e-14, 181.489, 62.9257, 52.9562, 45.3248, 49.2786, 1.25155
zfp_z__tolerance:5e-06, 1.90735e-06, 4.1069e-14, 182.03, 59.5304, 51.3442, 46.461, 48.4974, 1.24605
